Car Name,Car Price,City,Model Year,Used KM,Fuel Type,CC,Type of Vehicle
Suzuki Mehran  2018 VXR Euro II for Sale,PKR 15.5lacs,Islamabad,2018,"88,000 km",Petrol,800 cc,Manual
Honda City  2001 EXi for Sale,PKR 10.5lacs,Lahore,2001,"100,000 km",Petrol,1300 cc,Manual
Toyota Corolla  2020 GLi Automatic 1.3 VVTi for Sale,PKR 48.5lacs,Lahore,2020,"35,000 km",Petrol,1300 cc,Automatic
Honda Civic Reborn 2010 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 28.25lacs,Lahore,2010,"158,102 km",Petrol,1800 cc,Automatic
Toyota Corolla  2019 Altis Grande 1.8 for Sale,PKR 56lacs,Karachi,2019,"79,000 km",Petrol,1800 cc,Automatic
Honda Civic  2017 Turbo 1.5 VTEC CVT for Sale,PKR 57.5lacs,Islamabad,2017,"75,000 km",Petrol,1500 cc,Automatic
Toyota Hilux  2022 Revo Rocco for Sale,PKR 1.35crore,Karachi,2022,"25,869 km",Diesel,2800 cc,Automatic
Honda N Wgn  2016 G for Sale,PKR 28.75lacs,Lahore,2016,"101,586 km",Petrol,660 cc,Automatic
Prince Pearl  2022 MT for Sale,PKR 11.8lacs,Karachi,2022,"9,000 km",Petrol,800 cc,Manual
Honda Civic  2012 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 34.25lacs,Multan,2012,"240,600 km",Petrol,1800 cc,Automatic
Honda City 6th Generation 2023 1.2L M/T for Sale,PKR 43lacs,Islamabad,2023,"47,006 km",Petrol,1200 cc,Manual
Suzuki Wagon R  2021 Hybrid FZ for Sale,PKR 37.95lacs,Lahore,2021,"36,610 km",Hybrid,660 cc,Automatic
Toyota Corolla  2023 Altis 1.6 X CVT-i for Sale,PKR 62.5lacs,Multan,2023,"51,235 km",Petrol,1600 cc,Automatic
Toyota Vitz  2012 F 1.0 for Sale,PKR 28lacs,Faisalabad,2012,"119,151 km",Petrol,1000 cc,Automatic
Toyota Corolla  2009 2.0D Saloon for Sale,PKR 28.5lacs,Multan,2009,"204,678 km",Diesel,2000 cc,Manual
Toyota Raize  2020 Z for Sale,PKR 60lacs,Islamabad,2020,"75,500 km",Petrol,1000 cc,Automatic
Suzuki Swift  2022 GLX CVT for Sale,PKR 43.5lacs,Multan,2022,"91,028 km",Petrol,1200 cc,Automatic
Honda Civic 6th Generation 1998 EXi for Sale,PKR 10.8lacs,Lahore,1998,"380,000 km",Petrol,1500 cc,Manual
Honda Civic Rebirth 2016 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 36.5lacs,Karachi,2016,"81,000 km",Petrol,1800 cc,Automatic
Suzuki Wagon R  2022 Hybrid FX for Sale,PKR 37.9lacs,Lahore,2022,"75,498 km",Hybrid,660 cc,Automatic
Hyundai Tucson  2022 AWD A/T Ultimate for Sale,PKR 76.5lacs,Karachi,2022,"29,000 km",Petrol,2000 cc,Automatic
Daihatsu Copen  2017 Robe for Sale,PKR 30lacs,Islamabad,2017,"40,000 km",Petrol,660 cc,Manual
Toyota Corolla  2018 Altis Grande CVT-i 1.8 for Sale,PKR 65.5lacs,Jhelum,2018,"36,400 km",Petrol,1800 cc,Automatic
Hyundai Tucson  2022 AWD A/T Ultimate for Sale,PKR 75lacs,Multan,2022,"19,000 km",Petrol,2000 cc,Automatic
Suzuki Wagon R  2011 FX for Sale,PKR 20.9lacs,Islamabad,2011,"130,000 km",Petrol,660 cc,Automatic
Hyundai Santro  2006 Exec for Sale,PKR 12.1lacs,Lahore,2006,"95,000 km",Petrol,1000 cc,Manual
Hyundai Santro  2006 Club for Sale,PKR 9.75lacs,Faisalabad,2006,"255,999 km",Petrol,1000 cc,Manual
KIA Stonic  2024 EX+ for Sale,PKR 57.5lacs,Lahore,2024,"29,225 km",Petrol,1400 cc,Automatic
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 64lacs,Rawalpindi,2021,"79,000 km",Petrol,1800 cc,Automatic
Honda Civic  2010 VTi 1.8 i-VTEC for Sale,PKR 20.7lacs,Lahore,2010,"97,700 km",Petrol,1800 cc,Manual
Daihatsu Mira  2016 ES for Sale,PKR 26lacs,Gujranwala,2016,"145,000 km",Petrol,660 cc,Automatic
Toyota Passo  2017 X L Package S  for Sale,PKR 37.5lacs,Islamabad,2017,"120,000 km",Petrol,1000 cc,Automatic
Honda City 5th (GM2) Generation 2010 1.3 i-VTEC Prosmatec for Sale,PKR 24.9lacs,Lahore,2010,"25,000 km",Petrol,1300 cc,Automatic
Toyota Corolla  2021 Altis X Automatic 1.6 for Sale,PKR 54lacs,Bahawalpur,2021,"73,971 km",Petrol,1598 cc,Automatic
Honda Freed  2017 + Hybrid G Honda Sensing for Sale,PKR 33.5lacs,Karachi,2017,"170,000 km",Hybrid,1500 cc,Automatic
Toyota Prius  2009 G 1.5 for Sale,PKR 31lacs,Peshawar,2009,"150,000 km",Hybrid,1500 cc,Automatic
Suzuki Alto  2020 VXR for Sale,PKR 22.5lacs,Islamabad,2020,"74,000 km",Petrol,660 cc,Manual
Toyota Belta  2006 X 1.3 for Sale,PKR 23.7lacs,Islamabad,2006,"98,000 km",Petrol,1300 cc,Automatic
Toyota Passo  2014 X L Package for Sale,PKR 32.5lacs,Faisalabad,2014,"73,000 km",Petrol,1000 cc,Automatic
Honda Civic Rebirth 2013 Oriel Prosmatec UG for Sale,PKR 37.75lacs,Lahore,2013,"92,000 km",Petrol,1800 cc,Automatic
Honda Civic Reborn 2011 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 24.95lacs,Lahore,2011,"180,000 km",Petrol,1800 cc,Automatic
Daihatsu Move  2022 X SA 2 for Sale,PKR 36lacs,Karachi,2022,"55,000 km",Petrol,658 cc,Automatic
Daihatsu Rocky  2020 Premium G for Sale,PKR 59.5lacs,Rawalpindi,2020,"47,000 km",Petrol,1000 cc,Automatic
Haval Jolion  2024 1.5T for Sale,PKR 83lacs,Lahore,2024,"24,096 km",Petrol,1500 cc,Automatic
Toyota Yaris Sedan  2020 ATIV MT 1.3 for Sale,PKR 37.8lacs,Multan,2020,"69,000 km",Petrol,1300 cc,Manual
Toyota Corolla  2014 GLi 1.3 VVTi for Sale,PKR 37.25lacs,Lahore,2014,"122,906 km",Petrol,1300 cc,Manual
Toyota Corolla  2012  for Sale,PKR 42.8lacs,Rawalpindi,2012,"112,000 km",Hybrid,1800 cc,Automatic
Toyota Camry  2014  for Sale,PKR 80lacs,Islamabad,2014,"98,000 km",Hybrid,2700 cc,Automatic
Toyota Aqua  2015  for Sale,PKR 44.25lacs,Islamabad,2015,"115,000 km",Hybrid,1500 cc,Automatic
Toyota Porte  2006 130I for Sale,PKR 20lacs,Lahore,2006,"86,000 km",Petrol,1300 cc,Automatic
Hyundai Tucson  2021 FWD A/T GLS Sport for Sale,PKR 69lacs,Islamabad,2021,"89,000 km",Petrol,2000 cc,Automatic
Honda N Wgn  2022 G for Sale,PKR 35.25lacs,Lahore,2022,"74,000 km",Petrol,660 cc,Automatic
Honda Civic  2011 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 31.8lacs,Islamabad,2011,"85,000 km",Petrol,1800 cc,Automatic
Honda Civic Reborn 2011 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 24.95lacs,Lahore,2011,"180,000 km",Petrol,1800 cc,Automatic
Suzuki Wagon R  2019 VXR for Sale,PKR 24lacs,Rawalpindi,2019,"80,000 km",Petrol,1000 cc,Manual
Suzuki Swift  2011 DLX 1.3 for Sale,PKR 17.3lacs,Islamabad,2011,"150,000 km",Petrol,1300 cc,Manual
Toyota Corolla Axio  2006 X 1.5 for Sale,PKR 29lacs,Peshawar,2006,"95,000 km",Petrol,1500 cc,Automatic
Honda Civic Rebirth 2014 VTi 1.8 i-VTEC for Sale,PKR 26lacs,Lahore,2014,"124,000 km",Petrol,1800 cc,Manual
Honda City 6th Generation 2023 1.2L M/T for Sale,PKR 43lacs,Islamabad,2023,"47,006 km",Petrol,1200 cc,Manual
Suzuki Every  2021  for Sale,PKR 27lacs,Rawalpindi,2021,"49,000 km",Petrol,660 cc,Manual
Suzuki Wagon R  2021 Hybrid FZ for Sale,PKR 37.95lacs,Lahore,2021,"36,610 km",Hybrid,660 cc,Automatic
Honda BR-V  2024 i-VTEC S for Sale,PKR 61lacs,Gujranwala,2024,"19,000 km",Petrol,1500 cc,Automatic
Suzuki Mehran  2009 VXR for Sale,PKR 6.2lacs,Pattoki,2009,"150,000 km",Petrol,800 cc,Manual
Suzuki Mehran  2011 VX for Sale,PKR 8.5lacs,Mardan,2011,"130,000 km",CNG,800 cc,Manual
Toyota Corolla  2021 Altis X Automatic 1.6 Special Edition for Sale,PKR 62.75lacs,Lahore,2021,"84,195 km",Petrol,1600 cc,Automatic
Toyota Corolla  2023 Altis 1.6 X CVT-i for Sale,PKR 62.5lacs,Multan,2023,"51,235 km",Petrol,1600 cc,Automatic
Toyota Vitz  2012 F 1.0 for Sale,PKR 28lacs,Faisalabad,2012,"119,151 km",Petrol,1000 cc,Automatic
Suzuki Mehran  2006 VX (CNG) for Sale,PKR 7.3lacs,Rawalpindi,2006,"50,000 km",CNG,800 cc,Manual
Toyota Fortuner  2018 2.7 VVTi for Sale,PKR 1.1crore,Lahore,2018,"97,000 km",Petrol,2700 cc,Automatic
Toyota Corolla  2009 2.0D Saloon for Sale,PKR 28.5lacs,Multan,2009,"204,678 km",Diesel,2000 cc,Manual
Toyota Raize  2020 Z for Sale,PKR 60lacs,Islamabad,2020,"75,500 km",Petrol,1000 cc,Automatic
Suzuki Swift  2022 GLX CVT for Sale,PKR 43.5lacs,Multan,2022,"91,028 km",Petrol,1200 cc,Automatic
Suzuki Alto  2019 VXL AGS for Sale,PKR 24.95lacs,Karachi,2019,"66,667 km",Petrol,660 cc,Automatic
Honda Civic Reborn 2012 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 35.3lacs,Peshawar,2012,"160,000 km",Petrol,1800 cc,Automatic
Honda Civic 6th Generation 1998 EXi for Sale,PKR 10.8lacs,Lahore,1998,"380,000 km",Petrol,1500 cc,Manual
Suzuki Mehran  2010 VXR for Sale,PKR 9.5lacs,Islamabad,2010,"99,000 km",Petrol,800 cc,Manual
Toyota Vitz  2010 F 1.0 for Sale,PKR 24.5lacs,Peshawar,2010,"98,000 km",Petrol,1000 cc,Automatic
Suzuki Mehran  2012 VXR Euro II for Sale,PKR 11.6lacs,Rawalpindi,2012,"69,500 km",Petrol,796 cc,Manual
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 55.75lacs,Faisalabad,2018,"63,842 km",Petrol,1800 cc,Automatic
Suzuki Wagon R  2024 FA for Sale,PKR 39lacs,Faisalabad,2024,715 km,Petrol,660 cc,Automatic
Toyota Aqua  2015 S for Sale,PKR 44.75lacs,Islamabad,2015,"110,000 km",Hybrid,1500 cc,Automatic
Toyota Yaris Sedan  2025 GLI MT 1.3 for Sale,PKR 48.5lacs,Multan,2025,"3,700 km",Petrol,1300 cc,Manual
Toyota Yaris Sedan  2021 GLI CVT 1.3 for Sale,PKR 47lacs,Islamabad,2021,"24,189 km",Petrol,1300 cc,Automatic
Toyota Hilux  2012 D-4D Automatic for Sale,PKR 57.5lacs,Sialkot,2012,"85,214 km",Diesel,3000 cc,Automatic
Toyota Corolla  2023 Altis 1.6 X CVT-i for Sale,PKR 63lacs,Lahore,2023,"41,000 km",Petrol,1600 cc,Automatic
KIA Sportage  2021 AWD for Sale,PKR 68.5lacs,Karachi,2021,"38,000 km",Petrol,2000 cc,Automatic
Toyota Raize  2021 Z for Sale,PKR 59.5lacs,Lahore,2021,"34,091 km",Petrol,1000 cc,Automatic
MG HS  2021 1.5 Turbo for Sale,PKR 61.5lacs,Lahore,2021,"42,000 km",Petrol,1490 cc,Automatic
Haval Jolion  2024 1.5T for Sale,PKR 82lacs,Lahore,2024,"199,994 km",Petrol,1500 cc,Automatic
Nissan Dayz  2022 Highway Star X for Sale,PKR 43.9lacs,Lahore,2022,"6,648 km",Hybrid,660 cc,Automatic
Suzuki Mehran  2012 VXR Euro II for Sale,PKR 11.6lacs,Rawalpindi,2012,"69,500 km",Petrol,796 cc,Manual
